Name,Lat,Lon
Boston,42.3604823,-71.0595678
Worcester,42.2625932,-71.8022934
Springfield,42.1014831,-72.589811
Lowell,42.6334247,-71.3161718
Cambridge,42.3750997,-71.1056157
New Bedford,41.6362152,-70.934205
Brockton,42.0834335,-71.0183787
Quincy,42.2528772,-71.0022705
Lynn,42.466763,-70.9494939
Fall River,41.7010642,-71.1546367
Newton,42.3370414,-71.2092214
Lawrence,42.7070354,-71.1631137
Somerville,42.3875968,-71.0994968
Framingham,42.2792625,-71.416172
Haverhill,42.7777829,-71.0767724
Waltham,42.3756401,-71.2358004
Malden,42.4250964,-71.066163
Brookline,42.3317642,-71.1211635
Plymouth,41.9584367,-70.6672577
Medford,42.4184296,-71.1061639
Taunton,41.900101,-71.0897675
Chicopee,42.1487043,-72.6078672
Weymouth,42.2212188,-70.9391625
Revere,42.4084302,-71.0119948
Peabody,42.5278731,-70.9286609

,Boston,Worcester,Springfield,Lowell,Cambridge,New Bedford,Brockton,Quincy,Lynn,Fall River,Newton,Lawrence,Somerville,Framingham,Haverhill,Waltham,Malden,Brookline,Plymouth,Medford,Taunton,Chicopee,Weymouth,Revere,Peabody
Boston,0.0,3001.914234578823,5810.386628669426,2163.273798247679,277.07863052085986,3813.0418713401305,1816.9242239200266,867.1169759031484,902.6689316118886,3481.3972046692634,831.8272540282812,1899.6861485817185,325.1595476914283,1608.1201544659007,2387.1169200626073,912.290805296142,483.11703029736947,426.57451111739556,2952.193217009699,417.85777983863784,2638.201917899341,5825.418754681408,1273.3825322498624,427.79494517523256,1346.1182533887386
Worcester,3043.793359271668,0.0,3458.975396760415,2661.514408826935,2874.707223179647,5126.263127748485,4021.548165636652,3678.7668257597384,3859.2481126662806,4794.618461077618,2517.743432209518,3312.9802255279546,3023.6198054491174,1826.3913037111543,3800.4109970088434,2524.208472762911,3292.8091493737397,2870.5553747322265,4950.566773908986,3143.257329167755,3708.2141546223284,3474.0075227723983,4024.283339333174,3349.3996896142407,4267.722997827746
Springfield,5844.990980041659,3424.243119139631,0.0,6073.758994530415,5675.904843949638,7927.460748518477,6822.745786406645,6479.9644465297315,6660.445733436275,7595.81608184761,5318.94105297951,6725.2248112314355,5824.81742621911,4627.588924481146,7212.655582712325,5325.4060935329035,6094.006770143733,5671.752995502218,7751.7643946789785,5944.454949937746,6509.411775392321,337.9593120581336,6825.480960103167,6150.597310384233,7068.920618597739
Lowell,2135.8841465264104,2600.6122321091807,6037.689482718002,0.0,2015.8773614893285,5594.657200056719,3598.5395526366183,2897.960117574921,2438.7935955468192,5263.012533385854,2059.3630930886065,1047.791205131455,1987.825923861461,2465.3417946122204,1535.2219766123435,1701.5913747079333,1921.123862442826,2311.8994808698462,4983.036358681471,1763.7499822906302,4419.817246615932,6052.721608729985,3304.2256739216346,2239.6010759140963,2294.585598288605
Cambridge,296.46127312116494,2857.594523647548,5666.06691773815,1963.28045202779,0.0,4014.6308623868763,2018.513214966773,1068.705966949895,1067.3185882740195,3682.98619571601,723.287225294808,1904.4138275625307,188.63779418496227,1463.8004435346252,2391.8445990434193,697.8088394088222,494.79956098147835,421.4088799113946,3153.7822080564447,388.8235626398642,2839.7909089460873,5681.099043750133,1474.9715232966087,557.470165221979,1475.7934734354849
New Bedford,3779.12269638578,5196.169392332058,8004.6417864226605,5628.009130395069,4001.846243041012,0.0,2452.1129062337013,3223.9886658469877,4662.847417121052,948.3309980772117,3888.377939460521,5645.06658024473,4089.411366343448,4566.178926268874,6132.4973517256185,4170.093077893216,4228.497461960378,3806.8489187144705,2545.1260406130023,4163.238211501646,1554.9966497879145,8019.673912434643,3481.620811451333,4173.175376838241,5091.49868505175
Brockton,1740.2642786940737,3974.589003625315,6783.061397715916,3589.150712703363,1962.9878253493066,2529.9634781043774,0.0,1185.130248155282,2623.9889994293453,2198.3188114335107,1849.5195217688156,3606.208162553022,2050.552948651743,2541.889074408865,4093.63893403391,2131.2346602015114,2189.639044268673,1767.9905010227649,2237.7760418397784,2124.3797938099415,1355.1235246635888,6798.093523727899,1239.7615539655271,2134.316959146536,3052.6402673600414
Quincy,798.911760531537,3583.661904673304,6392.1342987639055,2928.4432940564466,1021.6353071867695,3240.98861733571,1244.8709699156066,0.0,1682.6364812668094,2909.3439506648438,1417.5433057930923,2664.8556443904854,1109.2004304892062,2189.8678245603824,3152.2864158713737,1494.038475390623,1248.2865261061365,937.9156402448436,2281.7804865767075,1183.0272756474046,2066.1486638949214,6407.166424775889,465.07778486082714,1192.9644409839998,2111.2877491975055
Lynn,902.3399509154901,3832.8748095297847,6641.347203620386,2389.6318573093936,1049.3831890212723,4634.578545049331,2638.4608976292293,1688.6536496123517,0.0,4302.933878378466,1655.406350990232,2131.5262706466183,1063.479502631401,2439.0807294168626,2255.888707970191,1700.5791459833674,754.7458667758037,1275.7631520353902,3773.7298907189015,949.7771960972921,3459.738591608544,6656.379329632369,2094.9192059590655,501.30568332399673,551.0632598891509
Fall River,3369.4400663201022,4786.4867622663805,7594.959156356983,5218.326500329392,3592.163612975335,1017.3171821595558,2042.4302761680237,2814.306035781311,4253.164787055374,0.0,3478.695309394844,5235.383950179053,3679.7287362777715,4156.496296203197,5722.814721659941,3760.4104478275394,3818.8148318947015,3397.166288648793,2564.543573161007,3753.5555814359695,1172.9096840455454,7609.9912823689665,3071.938181385656,3763.4927467725647,4681.816054986072
