Name,Lat,Lon
Boston,42.3604823,-71.0595678
Worcester,42.2625932,-71.8022934
Springfield,42.1014831,-72.589811
Lowell,42.6334247,-71.3161718
Cambridge,42.3750997,-71.1056157
New Bedford,41.6362152,-70.934205
Brockton,42.0834335,-71.0183787
Quincy,42.2528772,-71.0022705
Lynn,42.466763,-70.9494939
Fall River,41.7010642,-71.1546367
Newton,42.3370414,-71.2092214
Lawrence,42.7070354,-71.1631137
Somerville,42.3875968,-71.0994968
Framingham,42.2792625,-71.416172
Haverhill,42.7777829,-71.0767724
Waltham,42.3756401,-71.2358004
Malden,42.4250964,-71.066163
Brookline,42.3317642,-71.1211635
Plymouth,41.9584367,-70.6672577
Medford,42.4184296,-71.1061639
Taunton,41.900101,-71.0897675
Chicopee,42.1487043,-72.6078672
Weymouth,42.2212188,-70.9391625
Revere,42.4084302,-71.0119948
Peabody,42.5278731,-70.9286609
